acs,species,trt,hyp,int1,int2,int3,int4
LA1691,S. habrochaites,L,37.96,4.59,0.59,5.7,0.87
LA2580,S. pennellii,L,19.91,3.66,2.12,3.87,1.94
LA1973,S. peruvianum,L,51.73,14.53,4.3,15.8,5.91
LA2748,S. chilense,L,25.77,11.07,8.71,16.29,7.98
LA2931,S. chilense,L,45.54,8.71,0.49,18.23,6.78
LA1317,S. chmielewskii,L,38.07,3.45,11.64,12.84,11.11
LA361,S. habrochaites,L,37.25,11.83,3.79,4.95,1.22
LA2167,S. habrochaites,L,19.5,8.58,9.88,8.96,9.54
LA1336,S. peruvianum,L,49.72,14.66,2.1,9.23,4.88
LA3795,S. peruvianum,L,40.65,6.36,4.41,6.16,4.37
LA2773,S. chilense,L,31.71,2.77,4.15,4.28,5.29
LA2773,S. chilense,L,35.36,9.62,5.53,8.63,16.44
LA1318,S. chmielewskii,L,35.8,9.77,9.79,10.22,3.63
LA1361,S. habrochaites,L,54.1,6.25,7.69,18.47,12.27
LA1954,S. peruvianum,L,42.73,12.36,6.18,12.71,7.83
LA1912,S. pennellii,L,25.42,8.03,7.08,4.89,4.26
LA3791,S. pennellii,L,35.62,1.06,0.61,0.97,NA
LA1958,S. chilense,L,43,4.9,1.99,5.82,4.79
LA2884,S. chilense,L,26.66,1.5,0.94,0.5,1.27
LA1306,S. chmielewskii,L,24.27,1.47,6.97,10.09,3.47
LA2663,S. chmielewskii,L,28.81,3.16,6.18,10.73,5.98
LA1363,S. habrochaites,L,27.31,8.49,3.94,13.97,5.56
LA2167,S. habrochaites,L,28.8,6.48,8.93,17.29,10.06
LA716,S. pennellii,L,23.29,0.49,7.8,2.89,1.08
LA446,S. peruvianum,L,29.64,5.01,6.62,7.75,3.61
LA1969,S. chilense,L,19.67,2.32,4.65,16.77,14.52
LA1316,S. chmielewskii,L,52.22,4.83,2.52,11.01,8.11
LA2695,S. chmielewskii,L,28.07,2.18,6.13,6.36,3.44
LA1691,S. habrochaites,L,26.33,5.88,4.26,7.08,5.88
LA2204,S. habrochaites,L,29.75,7.84,17.24,26.23,22.97
LA1305,S. peruvianum,H,34.06,2.93,1.29,10.09,6.83
LA2748,S. chilense,H,29.91,0.87,1.31,1.45,2.23
LA2748,S. chilense,H,39.79,7.31,2.52,5.43,1.09
LA2931,S. chilense,H,49.11,1.03,1.06,1.1,0.86
LA1317,S. chmielewskii,H,33.81,3.16,7.16,12.12,6.95
LA361,S. habrochaites,H,32.35,4.32,5.77,2.89,2.37
LA1918,S. habrochaites,H,32.8,2.09,0.75,3.61,4.02
LA2167,S. habrochaites,H,20.85,3.05,3.98,5.5,4.73
LA1336,S. peruvianum,H,33.48,5.2,3.29,8.14,3.81
LA3795,S. peruvianum,H,35.18,0.85,0.67,1.24,0.24
LA2773,S. chilense,H,41.47,1.63,0.43,0.94,1.44
LA2773,S. chilense,H,23,0.52,0.91,0.48,0.82
LA1318,S. chmielewskii,H,28.7,3.69,4.84,4.11,1.92
LA1361,S. habrochaites,H,25.84,3.03,3.48,3.48,4.08
LA1954,S. peruvianum,H,20.88,3.24,2.41,4.06,2.14
LA3791,S. pennellii,H,15.65,1.26,1.25,0.95,0.19
LA1474,S. peruvianum,H,26.74,8.94,0.61,3.23,2.12
LA1958,S. chilense,H,30.62,2.74,0.83,1.61,2.17
LA2884,S. chilense,H,33.1,2.73,0.97,2.75,3.25
LA1306,S. chmielewskii,H,28.55,0.71,1.11,2.14,3.07
LA2663,S. chmielewskii,H,29.75,1.87,1.45,7.31,3.4
LA1363,S. habrochaites,H,30.99,4.3,7.24,7.7,3.19
LA2167,S. habrochaites,H,25.98,2.52,1.61,3.87,3.55
LA1954,S. peruvianum,H,44.88,6.67,2.89,7.56,6.01
LA2891,S. chilense,H,27.39,3.15,1.44,3.09,1.8
LA1316,S. chmielewskii,H,37.58,2.81,1.76,3.55,1.7
LA2695,S. chmielewskii,H,24.47,2.62,5.19,3.46,2.22
LA1691,S. habrochaites,H,20.71,2.47,3.58,2.88,2.14
LA2204,S. habrochaites,H,21.13,1.72,0.74,5.27,3.07
LA2580,S. pennellii,L,28.83,15.81,8.76,9.58,5.3
LA1973,S. peruvianum,L,58.53,6.35,15.9,9.69,4.16
LA2748,S. chilense,L,35.73,8.31,1.84,17.31,13.64
LA2931,S. chilense,L,70.71,12.7,2.3,25.53,13.12
LA1317,S. chmielewskii,L,42.53,3.78,10.99,15.31,12.71
LA361,S. habrochaites,L,35.88,14.47,19.97,15.75,12.96
LA1918,S. habrochaites,L,48.35,4.87,0.87,9.33,5.4
LA2167,S. habrochaites,L,32.57,2.97,2.65,11.03,7.47
LA3795,S. peruvianum,L,34.88,4.66,6.34,6.67,3.12
LA2773,S. chilense,L,43.61,7.06,7.99,16.27,15.74
LA2773,S. chilense,L,34.21,2.35,0.84,7.38,5.54
LA1318,S. chmielewskii,L,40.78,6.39,8.15,3.68,3.08
LA1361,S. habrochaites,L,37.53,10.12,12.51,11.74,6.81
LA1954,S. peruvianum,L,27.69,5.83,6.83,3.5,1.65
LA3791,S. pennellii,L,32.56,1.76,1.05,1.67,1.2
LA2884,S. chilense,L,28.27,3.67,0.32,6.29,3.57
LA1306,S. chmielewskii,L,27.77,1.38,10.96,13.92,13.03
LA2663,S. chmielewskii,L,29.95,4.93,10.92,14.45,9.44
LA1363,S. habrochaites,L,28.3,8.83,9.07,13.27,7.86
LA2167,S. habrochaites,L,30.4,4.29,6.37,7.23,6.04
LA716,S. pennellii,L,25.51,4.69,6.55,5.52,3.19
LA1316,S. chmielewskii,L,41.47,3.29,4.56,7,3.8
LA2695,S. chmielewskii,L,39,3.21,10.69,8.54,3.62
LA2204,S. habrochaites,L,33.82,5.81,13.54,11.82,8.14
LA1305,S. peruvianum,H,21.75,4.24,2.82,3.89,1.75
LA1973,S. peruvianum,H,21.35,14.28,5.12,17.55,9.39
LA2748,S. chilense,H,17.73,0.13,0.89,0.82,0.82
LA2931,S. chilense,H,36.03,1.05,0.67,1.62,3.04
LA1317,S. chmielewskii,H,46.21,1.71,2.79,4.51,2.4
LA361,S. habrochaites,H,28.44,8.45,8.44,9.32,4.04
LA1918,S. habrochaites,H,38.77,2.85,0.57,5.79,4.44
LA2167,S. habrochaites,H,19.76,2.39,5.02,5.77,2.64
LA3788,S. pennellii,H,20.03,0.77,0.52,1.13,0.71
LA1336,S. peruvianum,H,34.11,11.22,6.07,9.49,5.59
LA3795,S. peruvianum,H,31.79,1.39,0.61,3.63,1.44
LA2773,S. chilense,H,52.6,1.51,1.17,0.71,1.12
LA1318,S. chmielewskii,H,25.84,7.57,6.09,6.13,3.11
LA1361,S. habrochaites,H,31.92,1.68,1.75,4.77,1.43
LA1954,S. peruvianum,H,29.5,6.88,3.39,2.55,1.58
LA1912,S. pennellii,H,16.94,2.69,3.43,1.89,NA
LA3791,S. pennellii,H,27.46,1.21,0.76,0.33,1.57
LA1474,S. peruvianum,H,25.63,4.66,1.08,2.21,1.33
LA1958,S. chilense,H,29.06,1.06,0.56,1.19,1.89
LA2884,S. chilense,H,17.37,0.62,1.18,1.6,0.86
LA1306,S. chmielewskii,H,30.1,1.27,0.39,4.13,5.07
LA2663,S. chmielewskii,H,26.98,1.27,4.06,3.13,1.63
LA1363,S. habrochaites,H,17.36,2.62,6.52,2.79,2.23
LA2167,S. habrochaites,H,29.71,2.81,1.98,2.01,3.1
LA446,S. peruvianum,H,6.17,2.08,0.17,3,2.81
LA1954,S. peruvianum,H,40.99,5.36,3.36,6.96,4.3
LA1969,S. chilense,H,30.55,0.68,1.22,1.86,0.69
LA2891,S. chilense,H,30.24,4.09,0.52,4,2.5
LA1316,S. chmielewskii,H,35.73,1.16,2.27,3.05,2.9
LA2695,S. chmielewskii,H,28.47,1.73,4.58,3.28,NA
LA1691,S. habrochaites,H,24.55,1.68,2.14,2.68,1.56
LA2204,S. habrochaites,H,28.78,1.82,3.87,5.39,5.2
LA2580,S. pennellii,L,15.97,5.83,5.88,6.47,3.78
LA1305,S. peruvianum,L,27.38,4.01,7.01,12.55,7.74
LA1973,S. peruvianum,L,35.47,10.49,2.6,10.28,2.94
LA2931,S. chilense,L,43.19,7.74,0.66,5.24,4.61
LA1317,S. chmielewskii,L,48.31,4.38,5.16,9,8.55
LA361,S. habrochaites,L,36.52,7.67,9.67,6.09,5.72
LA1918,S. habrochaites,L,35.01,4.82,1.36,5.72,6.52
LA2167,S. habrochaites,L,30.13,4.64,2.88,8.81,11.31
LA1336,S. peruvianum,L,58.4,5.23,6.61,7.36,4.84
LA1361,S. habrochaites,L,29.57,4.36,7.59,5.81,1.99
LA1912,S. pennellii,L,17.9,5.07,2.12,4.82,2.3
LA3791,S. pennellii,L,35.38,6.75,5.3,5.89,2.16
LA1474,S. peruvianum,L,49.2,4.62,6.4,6.94,3.73
LA1958,S. chilense,L,37.05,4.85,0.92,4.12,9.64
LA1306,S. chmielewskii,L,22.05,1.85,6.78,9.13,6.91
LA2663,S. chmielewskii,L,25.82,3.95,7.4,7.47,6.52
LA1363,S. habrochaites,L,26.78,6.46,5.58,6.48,3.16
LA446,S. peruvianum,L,33.2,10.21,1.91,8.28,8.82
LA1954,S. peruvianum,L,48.63,7.01,3.88,5.77,3.8
LA1969,S. chilense,L,32.34,4.99,3.48,7.21,2.83
LA2891,S. chilense,L,29.23,5.43,1.52,6.28,3.88
LA1316,S. chmielewskii,L,35.36,0.33,5.88,6.07,3.8
LA1691,S. habrochaites,L,22.52,4.71,1.79,4.11,2.75
LA2204,S. habrochaites,L,33.14,2.53,0.96,5.84,4.48
LA1973,S. peruvianum,H,23.41,0.56,1.92,1.52,1.56
LA2748,S. chilense,H,16.46,1.04,0.72,0.75,1
LA2931,S. chilense,H,40.51,0.65,1.03,1.03,0.9
LA1317,S. chmielewskii,H,28.96,1.67,5.97,6.46,3.63
LA1918,S. habrochaites,H,30.29,1.88,1.36,4.42,3.29
LA3788,S. pennellii,H,22.88,0.98,0.4,1.43,1.02
LA1336,S. peruvianum,H,51.57,3.42,3,2.81,0.89
LA3795,S. peruvianum,H,28.85,1.95,2.53,1.94,1.28
LA2773,S. chilense,H,21.79,1.1,1.13,0.33,0.96
LA2773,S. chilense,H,22.37,0.43,0.44,0.91,0.43
LA1318,S. chmielewskii,H,28.17,7.68,7.18,8.06,4.64
LA1361,S. habrochaites,H,30.48,1.99,4.45,4.45,5.39
LA1954,S. peruvianum,H,39.87,3.62,1.78,2.66,1.99
LA3791,S. pennellii,H,25,0.85,1.08,1.13,0.2
LA1474,S. peruvianum,H,33.1,1.56,1.03,2.56,3.82
LA1958,S. chilense,H,30.46,1,0.37,1.49,1.42
LA1306,S. chmielewskii,H,31.17,1.36,3.63,5.49,3.3
LA2663,S. chmielewskii,H,29.28,2.51,5.46,5.05,3.29
LA1363,S. habrochaites,H,20.65,1.89,3.59,2.74,1.3
LA2167,S. habrochaites,H,27.09,2.14,2.32,2.96,2.69
LA1474,S. peruvianum,H,40.47,0.85,1.43,0.63,1.62
LA1954,S. peruvianum,H,35.79,2.42,0.3,2.86,1.9
LA2891,S. chilense,H,22.18,0.73,0.86,0.48,0.63
LA1316,S. chmielewskii,H,30.98,0.63,0.79,2.28,2.3
LA2695,S. chmielewskii,H,32.57,2.72,4.46,4.69,2.68
LA1691,S. habrochaites,H,26.61,2.89,4.58,5.1,3.07
LA2204,S. habrochaites,H,27.77,3.59,5.13,5.6,5.57
LA1305,S. peruvianum,L,23.1,4.79,2.16,1.34,0.64
LA1973,S. peruvianum,L,46.94,16.35,3.07,22.08,8.04
LA2748,S. chilense,L,13.24,7.94,3.78,17.1,9.62
LA2931,S. chilense,L,25.69,1.68,1.12,1.14,1.48
LA1317,S. chmielewskii,L,28.62,4.41,16.46,16.42,6.5
LA361,S. habrochaites,L,30.87,16.77,17.32,11.79,0.44
LA2204,S. habrochaites,L,30.42,8.3,9.87,14.2,7.87
LA2167,S. habrochaites,L,30.93,2.63,1.58,1.6,NA
LA3788,S. pennellii,L,53.42,8.23,5.81,6.78,3.45
LA1336,S. peruvianum,L,43.26,7.39,7.83,9.7,4.31
LA3795,S. peruvianum,L,29.81,6.17,9.44,10.22,6.52
LA2773,S. chilense,L,25.37,1.52,2.53,3.9,3.96
LA1318,S. chmielewskii,L,30.5,7.72,14.7,15.42,5.74
LA1361,S. habrochaites,L,45.89,7.98,19.17,16.08,8.72
LA1954,S. peruvianum,L,27.32,5.17,5.81,8.22,5.17
LA1958,S. chilense,L,35.47,3,2.77,3.7,3
LA3791,S. pennellii,L,36.96,4.14,5.93,7.79,2.14
LA1474,S. peruvianum,L,44.4,3.2,7.87,3.93,6.28
LA1958,S. chilense,L,33.88,5.23,1.15,7.62,8.28
LA1306,S. chmielewskii,L,32.02,2.57,6.14,13.3,10.54
LA2663,S. chmielewskii,L,29.55,3.48,10.62,12.2,6.05
LA1363,S. habrochaites,L,26.08,8.4,13.37,12.42,2.92
LA1474,S. peruvianum,L,39.66,1.47,1.36,7.21,3.67
LA446,S. peruvianum,L,32.44,7.58,9.77,7.54,9
LA1954,S. peruvianum,L,44.97,7.24,6.34,6.51,4.16
LA2891,S. chilense,L,23.83,3.69,1.09,4.6,2.3
LA1316,S. chmielewskii,L,49.87,3.64,1.82,8.04,5.91
LA2695,S. chmielewskii,L,23.1,3.31,4.53,1.5,NA
LA2695,S. chmielewskii,L,33.5,4.47,4.67,3.18,NA
LA2204,S. habrochaites,L,29.03,6.7,8.57,10.62,7.75
LA1361,S. habrochaites,H,29.08,1.32,3.62,5.79,3.46
LA1973,S. peruvianum,H,31.34,3.71,0.42,4.54,0.98
LA2931,S. chilense,H,33.98,0.97,0.32,0.32,0.97
LA1317,S. chmielewskii,H,31.14,1.38,6.53,7.59,3.49
LA361,S. habrochaites,H,28.61,3.19,3.65,3.26,1.95
LA2204,S. habrochaites,H,30.81,6,4.31,7.08,5.42
LA2167,S. habrochaites,H,29.48,2.93,0.64,2.58,1.11
LA3788,S. pennellii,H,18.09,0.57,0.77,0.87,0.91
LA1336,S. peruvianum,H,36.83,2.47,1.6,2.63,1.6
LA2773,S. chilense,H,33.51,0.79,0.84,1.28,1.86
LA2773,S. chilense,H,23.78,0.49,0.69,1.02,1.27
LA1318,S. chmielewskii,H,29.56,1.41,3.35,1.9,1.74
LA1361,S. habrochaites,H,24.77,1.37,0.85,0.39,1.82
LA1958,S. chilense,H,23.06,4.32,1.69,4.31,5.28
LA3791,S. pennellii,H,29.37,0.65,0.66,0.9,0.88
LA1474,S. peruvianum,H,38.33,2.11,0.57,1.67,1.7
LA1958,S. chilense,H,32.08,4.06,1.58,1.87,2.83
LA2884,S. chilense,H,36.49,1.38,0.58,1.42,0.45
LA1306,S. chmielewskii,H,20.12,1.98,0.54,4.07,4.28
LA2663,S. chmielewskii,H,28.23,0.77,3.03,1.61,1.11
LA1363,S. habrochaites,H,25.92,4.67,4.54,3.78,2.85
LA2167,S. habrochaites,H,22.64,2.16,2.42,1.98,1.69
LA446,S. peruvianum,H,22.36,0.62,7.58,0.65,1.54
LA1954,S. peruvianum,H,36.85,3.19,0.52,3.64,3.87
LA1969,S. chilense,H,11.01,0.47,0.57,0.69,0.85
LA2891,S. chilense,H,26.77,2.33,0.58,2.91,3.1
LA1316,S. chmielewskii,H,52.49,2.61,0.79,1.46,0.71
LA2695,S. chmielewskii,H,27.6,1.57,1.58,1.83,0.91
LA2695,S. chmielewskii,H,19.58,2.35,5.54,4.45,1.56
LA2204,S. habrochaites,H,17.74,3.14,0.72,5.77,4.36
LA1361,S. habrochaites,L,29,7.65,5.55,3.31,2.66
LA2931,S. chilense,L,44.08,3.08,5.37,3.95,6.52
LA1317,S. chmielewskii,L,43.82,6.2,7.76,6.19,5.07
LA361,S. habrochaites,L,42.62,12.12,11.64,6.52,7.86
LA2204,S. habrochaites,L,30.63,4.41,5.45,9.72,5.94
LA2167,S. habrochaites,L,40.68,2.83,1.92,2.8,3.45
LA1336,S. peruvianum,L,52.9,10.9,10.79,11.34,12.24
LA3795,S. peruvianum,L,38.49,8.04,15.13,9,NA
LA2773,S. chilense,L,30.37,3.33,1.86,5.64,10.02
LA2773,S. chilense,L,42.26,11.55,1.25,12.66,10.85
LA1318,S. chmielewskii,L,30.68,4.47,8.18,5.63,2.97
LA1361,S. habrochaites,L,41.75,6.27,9.14,12.39,16.92
LA1954,S. peruvianum,L,24.12,8.91,6.65,6.55,3.2
LA1474,S. peruvianum,L,50.91,4.66,7.99,6.57,8.26
LA1958,S. chilense,L,37.94,3.69,2.71,3.74,4.61
LA2884,S. chilense,L,37,4.9,1.81,10.15,9.31
LA1306,S. chmielewskii,L,25.38,2.66,0.77,16.23,10.79
LA2663,S. chmielewskii,L,27.87,3.85,7.01,6.04,6.45
LA1363,S. habrochaites,L,26.21,9.8,12.76,9.97,4.04
LA2167,S. habrochaites,L,28.76,3.4,5.28,10.02,9.55
LA1954,S. peruvianum,L,34.66,9.82,7.97,9.5,6.16
LA1969,S. chilense,L,28.05,0.27,0.38,7.04,5.37
LA2891,S. chilense,L,47,10.5,6.51,10.53,6.02
LA1316,S. chmielewskii,L,38.75,1.96,7.67,8.44,6.08
LA2695,S. chmielewskii,L,32.91,4.75,8.14,5.58,6.25
LA2695,S. chmielewskii,L,30.14,2.98,9.88,8.81,7.41
LA2204,S. habrochaites,L,28.78,2.76,0.68,7.61,5.54
LA1361,S. habrochaites,H,33.81,2.39,2.58,5.12,1.7
LA1305,S. peruvianum,H,22.93,2.81,1.86,4.81,1.52
LA1973,S. peruvianum,H,43.67,6.18,5.11,3.5,0.91
LA1317,S. chmielewskii,H,37.01,2.52,8.64,7.12,2.05
LA361,S. habrochaites,H,30.9,8.01,7.07,5.9,3.95
LA2204,S. habrochaites,H,21.62,6.51,5.46,8.08,11.26
LA2167,S. habrochaites,H,28.09,1.62,5.2,7.4,4.9
LA3788,S. pennellii,H,16.76,1.01,0.58,1.17,1.15
LA1336,S. peruvianum,H,25.41,2.31,3.23,4.43,1.56
LA3795,S. peruvianum,H,18.33,0.21,0.39,0.14,0.17
LA2773,S. chilense,H,34.56,1.54,0.77,1.08,0.82
LA1318,S. chmielewskii,H,25.98,4.56,7.29,8.3,2.47
LA1361,S. habrochaites,H,25.63,7.15,4.67,5.55,3.52
LA1954,S. peruvianum,H,29.19,4.43,0.29,4.15,2.31
LA1958,S. chilense,H,37.1,2.43,0.43,2.23,4.16
LA3791,S. pennellii,H,18.1,0.72,0.89,0.55,0.88
LA1474,S. peruvianum,H,41.81,3.3,7.35,3.64,2.67
LA1958,S. chilense,H,41.3,1.77,1.17,0.67,0.78
LA2884,S. chilense,H,24.42,1.25,0.5,2.73,1.63
LA1306,S. chmielewskii,H,28.81,1.22,3.29,4.4,3.46
LA2663,S. chmielewskii,H,30.72,1.92,5.53,3.29,1.74
LA1363,S. habrochaites,H,27.22,1.65,7.55,4.57,4.12
LA2167,S. habrochaites,H,30.79,1.99,1.81,6.04,3.92
LA1474,S. peruvianum,H,61.35,7.54,3.45,3.77,2.86
LA446,S. peruvianum,H,41.46,3.49,0.65,4.77,5.48
LA1954,S. peruvianum,H,33.9,3.19,2.67,4.98,2.92
LA1969,S. chilense,H,25.3,0.52,0.73,0.86,0.52
LA2891,S. chilense,H,31.71,0.79,1.25,1.7,0.65
LA1316,S. chmielewskii,H,28.46,1.5,2.09,2.37,1.67
LA2695,S. chmielewskii,H,23.77,1.92,5.77,4.13,2.56
LA2695,S. chmielewskii,H,28.36,1.7,5.44,6.07,2.05
LA2204,S. habrochaites,H,31.44,4,4.06,5.57,3.35
LA1973,S. peruvianum,L,40.54,19.18,6.78,16.83,7.56
LA1317,S. chmielewskii,L,36.76,9.13,9.08,15.69,17.58
LA361,S. habrochaites,L,35.34,10.79,9.35,13.24,10.69
LA2204,S. habrochaites,L,34.64,5.5,9.83,12.8,8.07
LA2167,S. habrochaites,L,23.24,3.98,10.86,10.97,14.24
LA3788,S. pennellii,L,29.51,9.28,15.32,12.54,10.16
LA1336,S. peruvianum,L,48.81,8.29,4.95,6.37,2.85
LA3795,S. peruvianum,L,34.71,10.68,6.1,12.76,6.26
LA3788,S. pennellii,L,26.45,8.25,8.94,3.19,NA
LA1318,S. chmielewskii,L,28.62,5.42,6.76,9.31,3.32
LA1361,S. habrochaites,L,38.55,4.47,5.41,12.02,11.11
LA1912,S. pennellii,H,40.1,3.25,0.88,5.03,3.06
LA1912,S. pennellii,L,36.02,4.12,3.29,6.81,3.27
LA1969,S. chilense,L,20.33,3.51,0.51,22.94,14.1
LA3791,S. pennellii,L,26.03,4.7,3.15,13.28,5.72
LA1474,S. peruvianum,L,28.52,14.58,12.59,8.48,9.51
LA1958,S. chilense,L,39.3,12.29,2,18.51,8.6
LA2884,S. chilense,L,26.26,6.74,2.23,11.72,11.18
LA1306,S. chmielewskii,L,25.15,3.39,0.78,14.59,14.32
LA2663,S. chmielewskii,L,28.2,1.3,2.07,3.57,0.89
LA1363,S. habrochaites,L,28.69,3.52,8.2,6.87,3.83
LA2167,S. habrochaites,L,24.9,1.94,4.32,6.53,6.02
LA1474,S. peruvianum,L,51.24,3.7,7.86,2.14,3.76
LA1954,S. peruvianum,L,46.28,10.36,9.16,11.06,10.37
LA2891,S. chilense,L,32.01,2.59,0.36,3.63,3.91
LA1316,S. chmielewskii,L,28.42,0.68,2.04,1.1,NA
LA2695,S. chmielewskii,L,35.96,3.4,8.78,4.2,NA
LA2695,S. chmielewskii,L,26.15,3.6,9.27,8.82,3.98
LA1361,S. habrochaites,H,16.9,0.8,2.89,6.77,4.59
LA1973,S. peruvianum,H,20.73,1.09,0.82,0.65,NA
LA2931,S. chilense,H,27.43,2.16,8.53,8.7,4.08
LA2204,S. habrochaites,H,28.44,5.94,0.77,8.92,7.7
LA2167,S. habrochaites,H,30,1.71,3,4.16,4.46
LA3788,S. pennellii,H,19.7,0.62,0.74,0.9,0.43
LA1336,S. peruvianum,H,35.19,3.43,2.64,5.93,5.27
LA3795,S. peruvianum,H,26.17,2.06,1.99,0.87,5.65
LA2773,S. chilense,H,13.02,1.5,1.13,2.79,2.78
LA3788,S. pennellii,H,23.39,5.47,7.44,9.95,4.74
LA1361,S. habrochaites,H,26.34,1.75,2.46,5.42,3.88
LA1969,S. chilense,H,26.36,0.16,0.61,0.3,0.13
LA1474,S. peruvianum,H,34.95,2.87,2.58,5.27,4.28
LA2884,S. chilense,H,26.32,1.35,0.44,3.46,2.11
LA1306,S. chmielewskii,H,27.06,1.86,5.96,4.97,3
LA2663,S. chmielewskii,H,26.03,1.42,4.27,5.35,3.97
LA1363,S. habrochaites,H,30.61,3.87,4.44,4.49,2.9
LA2167,S. habrochaites,H,25.04,4.3,2.16,2.18,NA
LA1474,S. peruvianum,H,29.38,0.12,0.44,0.44,0.21
LA1969,S. chilense,H,37,1.01,0.72,0.7,1.2
LA1316,S. chmielewskii,H,26.59,2,5.17,6.06,3.01
LA2695,S. chmielewskii,H,32.11,1.26,2.29,3.69,4.55
LA2695,S. chmielewskii,H,29,3.06,7.37,6.14,4.12
LA2204,S. habrochaites,H,27.62,2.03,4.99,3.75,NA
